id,route,surface,viewports,states
marketing-home,/,marketing,1440x1024;390x844,default;pricing-unavailable
pricing,/pricing,marketing,1440x1024;390x844,loading;default;unavailable
login,/login,marketing,1440x1024;390x844,idle;submitting;sent;rate-limited;provider-unavailable
overview,/app,workspace,1440x1024;390x844,healthy;degraded;setup-required;plan-limited;suspended
readiness,/onboarding,workspace,1440x1024;390x844,waiting-user;waiting-provider;blocked;ready
domains,/app/domains,workspace,1440x1024;390x844,empty;waiting-dns;waiting-ssl;active;failed
products,/app/products,workspace,1440x1024;390x844,empty;default;out-of-stock;forbidden
inventory,/app/inventory,workspace,1440x1024;390x844,empty;healthy;low;import-error
orders,/app/orders,workspace,1440x1024;390x844,empty;default;exceptions
order-detail,/app/orders/:id,workspace,1440x1024;390x844,pending;paid-processing;fulfilled;failed;forbidden
integrations,/app/integrations,workspace,1440x1024;390x844,healthy;degraded;disconnected
storefront-home,tenant:/,storefront,390x844;1440x1024,default;empty;draft;suspended;unknown
product-detail,tenant:/products/:slug,storefront,390x844;1440x1024,available;low;out
cart,tenant:/cart,storefront,390x844;1440x1024,empty;default;price-changed
checkout,tenant:/checkout,storefront,390x844;1440x1024,loading;ready;expired;provider-unavailable
order-status,tenant:/orders/:id,storefront,390x844;1440x1024,pending;verifying;processing;fulfilled;expired;access-denied
admin,/admin/operations,admin,1440x1024;390x844,default;incident;recent-auth;forbidden
