surface,route,page_source,primary_authority,primary_api_or_service,verification,maturity
marketing,/,src/pages/index.astro,host classifier and runtime plans,src/lib/storefront/routing.ts|src/lib/storefront/marketing.ts,tests/visual/local-public.spec.ts|tests/unit/storefront-routing.test.ts,live
marketing,/pricing,src/pages/pricing.astro,runtime plan projection,src/lib/storefront/marketing.ts,tests/visual/local-public.spec.ts|tests/unit/marketing-surface-contracts.test.ts,live
auth,/login,src/pages/login.astro,magic-link admission and session,src/pages/api/auth/magic-link/request.ts|src/pages/api/auth/magic-link/consume.ts|src/lib/auth/session.ts,tests/visual/local-public.spec.ts|tests/unit/auth-policy.test.ts|tests/unit/auth-magic-link-rate-limit.test.ts,live
workspace,/app,src/pages/app/index.astro,membership-bound shop/readiness/orders,src/lib/tenants/store.ts|src/lib/tenants/readiness.ts|src/lib/commerce/seller-orders.ts,tests/authenticated/local-authenticated.spec.ts,live
workspace,/onboarding,src/pages/onboarding.astro,onboarding/readiness server projection,src/pages/api/app/shops/[shopPublicId]/onboarding|src/pages/api/app/shops/[shopPublicId]/readiness|src/lib/onboarding,tests/authenticated/local-authenticated.spec.ts|tests/unit/readiness.test.ts,live
workspace,/app/products,src/pages/app/products.astro,tenant catalog service,src/pages/api/app/shops/[shopPublicId]/catalog.ts|src/pages/api/app/shops/[shopPublicId]/categories/index.ts|src/pages/api/app/shops/[shopPublicId]/products/index.ts|src/lib/catalog/store.ts,tests/authenticated/local-authenticated.spec.ts|tests/unit/catalog-frontend-contract.test.ts|tests/unit/catalog-atomic-create.test.ts,live
workspace,/app/inventory,src/pages/app/inventory.astro,encrypted inventory preview/import,src/pages/api/app/shops/[shopPublicId]/variants/[variantId]/inventory/preview.ts|src/pages/api/app/shops/[shopPublicId]/variants/[variantId]/inventory/import.ts|src/lib/catalog/import-preview.ts,tests/authenticated/local-authenticated.spec.ts|tests/unit/inventory-import-preview.test.ts|tests/unit/inventory-import-route.test.ts|tests/unit/inventory-import-store.test.ts,live
workspace,/app/orders,src/pages/app/orders.astro,safe seller order projection,src/pages/api/app/shops/[shopPublicId]/orders/index.ts|src/lib/commerce/seller-orders.ts,tests/authenticated/local-authenticated.spec.ts|tests/unit/seller-surface-contracts.test.ts,live
workspace,/app/orders/:id,src/pages/app/orders/[id].astro,tenant order detail fulfillment and internal notes,src/pages/api/app/shops/[shopPublicId]/orders/[orderId].ts|src/pages/api/app/shops/[shopPublicId]/orders/[orderId]/notes|manual-fulfillments.ts|src/lib/commerce/manual-fulfillment.ts|src/lib/commerce/order-notes.ts,tests/authenticated/local-authenticated.spec.ts|tests/unit/manual-fulfillment.test.ts|tests/unit/seller-operations-backend.test.ts,live
workspace,/app/customers,src/pages/app/customers.astro,masked customer projection plus owner/manager detail,profile and note operations,src/lib/tenants/seller-management.ts|src/lib/tenants/customer-management.ts|src/pages/api/app/shops/[shopPublicId]/customers,tests/authenticated/local-authenticated.spec.ts|tests/unit/seller-operations-backend.test.ts|tests/unit/customer-ui-contract.test.ts,contract_ready
workspace,/app/integrations,src/pages/app/integrations.astro,PayOS Telegram domain health scoped API credentials and channel connector catalog,src/pages/api/app/shops/[shopPublicId]/payments/payos.ts|src/pages/api/app/shops/[shopPublicId]/integrations/telegram.ts|src/pages/api/app/shops/[shopPublicId]/api-credentials/index.ts|src/pages/api/app/shops/[shopPublicId]/api-credentials/[credentialPublicId].ts|src/pages/api/app/shops/[shopPublicId]/channels/catalog.ts|src/pages/api/app/shops/[shopPublicId]/channels/requests.ts|src/pages/api/app/shops/[shopPublicId]/channels/requests/[requestPublicId].ts|src/lib/dashboard/integrations-view.ts|src/lib/channels/expansion.ts|src/lib/channels/connector-requests.ts|src/lib/channels/mini-app.ts|src/lib/channels/messaging-policy.ts,tests/authenticated/local-authenticated.spec.ts|tests/unit/integrations-frontend-contract.test.ts|tests/unit/channel-expansion.test.ts|tests/unit/seller-operations-backend.test.ts|tests/unit/dashboard-information-architecture.test.ts,provider_pending
workspace,/app/domains,src/pages/app/domains.astro,domain lifecycle and Cloudflare evidence,src/pages/api/app/shops/[shopPublicId]/domains|src/lib/domains/store.ts,tests/authenticated/local-authenticated.spec.ts|tests/unit/domain-store.test.ts|tests/unit/domain-policy.test.ts,external_pending
workspace,/app/automation,src/pages/app/automation.astro,durable automation task projection,src/pages/api/app/shops/[shopPublicId]/automation|src/lib/automation/api-service.ts,tests/authenticated/local-authenticated.spec.ts|tests/unit/automation-orchestrator.test.ts|tests/unit/automation-ui.test.ts,live
workspace,/app/store,src/pages/app/store.astro,versioned storefront draft and publication,src/pages/api/app/shops/[shopPublicId]/storefront/draft.ts|src/pages/api/app/shops/[shopPublicId]/storefront/publish.ts|src/pages/api/app/shops/[shopPublicId]/settings.ts|src/lib/tenants/storefront-settings.ts,tests/authenticated/local-authenticated.spec.ts|tests/unit/storefront-draft-publication.test.ts|tests/unit/storefront-publication-route.test.ts,live
workspace,/app/members,src/pages/app/members.astro,masked membership projection plus owner invitation/role/suspension operations,src/lib/tenants/seller-management.ts|src/lib/tenants/member-management.ts|src/pages/api/app/shops/[shopPublicId]/members|src/pages/api/app/shops/[shopPublicId]/members/invitations|src/pages/api/auth/member-invitations/accept.ts,tests/authenticated/local-authenticated.spec.ts|tests/unit/seller-operations-backend.test.ts|tests/unit/seller-surface-contracts.test.ts,contract_ready
workspace,/app/billing,src/pages/app/billing.astro,plan subscription and usage projection plus audited provider-pending change requests,src/lib/tenants/seller-management.ts|src/lib/tenants/billing-requests.ts|src/pages/api/app/shops/[shopPublicId]/billing/plans.ts|src/pages/api/app/shops/[shopPublicId]/billing/requests.ts,tests/authenticated/local-authenticated.spec.ts|tests/unit/seller-operations-backend.test.ts|tests/unit/seller-surface-contracts.test.ts,provider_pending
workspace,/app/data,src/pages/app/data.astro,audit export deletion abuse and moderation,src/pages/api/app/shops/[shopPublicId]/audit.ts|exports|deletion|abuse-reports.ts|moderation|src/lib/operations,tests/authenticated/local-authenticated.spec.ts|tests/unit/data-lifecycle.test.ts,live
admin,/admin,src/pages/admin/index.astro,platform admin abuse and moderation,src/pages/api/admin/abuse-reports|moderation/actions.ts|src/lib/operations/abuse.ts,tests/authenticated/local-authenticated.spec.ts|tests/unit/abuse-operations.test.ts,live
admin,/admin/operations,src/pages/admin/operations.astro,incidents DLQ deletion legal hold rotation,src/pages/api/admin/operations|src/lib/operations,tests/authenticated/local-authenticated.spec.ts|tests/unit/data-lifecycle.test.ts,live
admin,/admin/shops,src/pages/admin/shops.astro,safe platform shop directory,src/pages/api/admin/shops/index.ts|src/lib/operations/admin-shop-directory.ts,tests/authenticated/local-authenticated.spec.ts|tests/unit/admin-shop-directory.test.ts,read_only
admin,/admin/investigations,src/pages/admin/operations.astro,masked cross-tenant order/payment investigation and safe audit explorer,src/pages/api/admin/investigations/orders.ts|src/pages/api/admin/investigations/audit.ts|src/lib/operations/admin-investigations.ts,tests/unit/seller-operations-backend.test.ts|tests/unit/admin-operations-ui.test.ts,contract_ready
