"method","path","source_file","surface","tenant_resolution","authentication","request_protection","capability_or_scope","authority","contract_ref","maturity","response_contract","notes"
"POST","/api/admin/abuse-reports/:reportPublicId","src/pages/api/admin/abuse-reports/[reportPublicId].ts","admin","platform_admin->optional shop target","active_admin","csrf+recent-auth+audit","platform:operate","d1-transaction","admin","live","admin_mutation_projection","Support is limited to received->triaged; owner/risk can perform broader transitions."
"POST","/api/admin/payments/payos/staging-fingerprint","src/pages/api/admin/payments/payos/staging-fingerprint.ts","admin","platform_admin","active_admin","csrf+recent-auth","platform:operate","runtime-hmac","admin.payos.staging-fingerprint","provider_pending","fingerprint_projection","Staging-only operator seam derives the keyed PayOS channel fingerprint inside the Worker; it accepts only clientId and never accepts or returns provider credentials or the HMAC secret."
"GET","/api/admin/abuse-reports","src/pages/api/admin/abuse-reports/index.ts","admin","platform_admin->optional shop target","active_admin","admin-role","platform:read","d1-projection","admin","live","safe_admin_projection",""
"POST","/api/admin/moderation/actions","src/pages/api/admin/moderation/actions.ts","admin","platform_admin->optional shop target","platform_owner_or_risk","csrf+recent-auth+audit","platform:operate","d1-transaction","admin","live","admin_mutation_projection",""
"POST","/api/admin/operations/dead-letters/:deadLetterId","src/pages/api/admin/operations/dead-letters/[deadLetterId].ts","admin","platform_admin->optional shop target","active_admin","csrf+recent-auth+audit","platform:operate","d1-transaction","admin","live","admin_mutation_projection","Replay/retry is bounded and idempotent; payloads expose safe context/reference only."
"POST","/api/admin/operations/deletions/:deletionRequestId/legal-hold","src/pages/api/admin/operations/deletions/[deletionRequestId]/legal-hold.ts","admin","platform_admin->optional shop target","platform_owner_or_risk","csrf+recent-auth+audit","platform:operate","d1-transaction","admin","live","admin_mutation_projection","Optimistic version and active-hold fences protect irreversible deletion/provider cleanup."
"POST","/api/admin/operations/incidents/:incidentId","src/pages/api/admin/operations/incidents/[incidentId].ts","admin","platform_admin->optional shop target","active_admin","csrf+recent-auth+audit","platform:operate","d1-transaction","admin","live","admin_mutation_projection",""
"GET","/api/admin/operations","src/pages/api/admin/operations/index.ts","admin","platform_admin->optional shop target","active_admin","admin-role","platform:read","d1-projection","admin","live","safe_admin_projection",""
"GET","/api/admin/operations/overview","src/pages/api/admin/operations/overview/index.ts","admin","platform_admin->optional shop target","active_admin","admin-role","platform:read","d1-projection","admin","live","safe_admin_projection","Bounded status-grouped counts fail closed per section so a broken projection omits its section instead of failing the whole overview."
"POST","/api/admin/operations/rotations/:runId/process","src/pages/api/admin/operations/rotations/[runId]/process.ts","admin","platform_admin->optional shop target","platform_owner_or_risk","csrf+recent-auth+audit","platform:operate","d1-transaction","admin","live","admin_mutation_projection","Credential/inventory rotation requires explicit high-risk confirmation and bounded processing."
"GET","/api/admin/operations/rotations","src/pages/api/admin/operations/rotations/index.ts","admin","platform_admin->optional shop target","active_admin","admin-role","platform:read","d1-projection","admin","live","safe_admin_projection","Credential/inventory rotation requires explicit high-risk confirmation and bounded processing."
"POST","/api/admin/operations/rotations","src/pages/api/admin/operations/rotations/index.ts","admin","platform_admin->optional shop target","platform_owner_or_risk","csrf+recent-auth+audit","platform:operate","d1-transaction","admin","live","admin_mutation_projection","Credential/inventory rotation requires explicit high-risk confirmation and bounded processing."
"POST","/api/admin/shops/:shopPublicId/suspend","src/pages/api/admin/shops/[shopPublicId]/suspend.ts","admin","platform_admin->optional shop target","platform_owner_or_risk","csrf+recent-auth+audit","platform:operate","d1-transaction","admin","live","admin_mutation_projection",""
"GET","/api/admin/shops","src/pages/api/admin/shops/index.ts","admin","platform_admin->optional shop target","active_admin","admin-role","platform:read","d1-projection","admin","live","safe_admin_projection","Directory excludes identity, credentials, tokens, provider payloads and internal shop IDs."
"POST","/api/app/account/change-password","src/pages/api/app/account/change-password.ts","dashboard","session->platform user","active_session","csrf+recent-auth","account:security","d1-transaction","app.account.password","live","mutation_projection","Changes the account password, revokes every other active session and emails a change alert."
"POST","/api/app/account/disable-2fa","src/pages/api/app/account/disable-2fa.ts","dashboard","session->platform user","active_session","csrf+recent-auth","account:security","d1-transaction","app.account.two_factor","live","empty_or_safe_json","Disables email-OTP 2FA after exactly one re-authentication proof (password XOR current OTP)."
"POST","/api/app/account/disable-2fa-request","src/pages/api/app/account/disable-2fa-request.ts","dashboard","session->platform user","active_session","csrf+recent-auth+rate-limit","account:security","d1-transaction","app.account.two_factor","live","safe_cooldown_projection","Sends the disable OTP for email-OTP 2FA with a cooldown; requires 2FA already enabled; debug OTP only in local mode."
"POST","/api/app/account/enable-2fa-request","src/pages/api/app/account/enable-2fa-request.ts","dashboard","session->platform user","active_session","csrf+recent-auth+rate-limit","account:security","d1-transaction","app.account.two_factor","live","safe_cooldown_projection","Sends the enrollment OTP for email-OTP 2FA with a 60s cooldown; debug OTP only in local mode."
"POST","/api/app/account/enable-2fa-verify","src/pages/api/app/account/enable-2fa-verify.ts","dashboard","session->platform user","active_session","csrf+recent-auth","account:security","d1-transaction","app.account.two_factor","live","mutation_projection","Confirms 2FA enrollment with the emailed OTP; attempt budget burns the code on exhaustion."
"GET","/api/app/account/login-history","src/pages/api/app/account/login-history.ts","dashboard","session->platform user","active_session","session","account:security","d1-projection","app.account.login_history","live","safe_json_projection","Append-only login outcomes for the caller; requester is an HMAC digest, never a raw IP; limit clamped to 50."
"GET","/api/app/shops/:shopPublicId","src/pages/api/app/shops/[shopPublicId].ts","dashboard","session->membership(shopPublicId)","session+shop","session+shop:read","shop:read","d1-projection","app.shop","live","safe_json_projection",""
