ID	Environment	Role	URL/Surface	Frequency	Reproducible	First observed	Evidence	Suspected root cause	Regression risk
BUG-001	Production	Guest/Customer	HTTP marketing/API/storefront routes	100% observed	Yes	2026-08-23	http-transport-security-probes.txt	No universal edge scheme canonicalization; CSP upgrade is not top-level redirect	Custom-domain TLS and local HTTP if HSTS/redirect is not environment-gated
BUG-002	Dirty worktree source; provider pending	Seller owner	/app/billing	Deterministic source sequence	Yes from source; live blocked	2026-08-23	src/scripts/dashboard/billing.ts:204; src/lib/billing/service.ts:370,535	Client discards stable attempt identity while backend locks active session	Duplicate provider checkout or unsafe unlock if recovery is loosened without CAS
BUG-003	Dirty worktree source	Seller owner	Billing reconciliation/checkout	Deterministic for null/exhausted provider state	Yes from source	2026-08-23	src/lib/billing/service.ts:623,762,795,878	No terminal stale-provider transition/release policy	Late webhook and already-paid sessions must not be expired incorrectly
BUG-004	New dirty Worker versus committed rollback Worker	Release operator/Seller	Worker billing cron/rollback	Whenever rollback occurs with open provider session	Yes from code compatibility	2026-08-23	new src/lib/billing/service.ts:552,624; committed service expiry path	Forward and rollback state machines disagree on open session ownership	Paid-but-webhook-lost and in-flight sessions during rollback
BUG-005	Dirty worktree source	Seller owner/System	Billing reconciliation	Deterministic with missing metadata fixture	Yes from source/tests	2026-08-23	src/lib/billing/service.ts:735,826	Subset metadata comparison and optional checkoutSessionId	Provider payload variants and legitimate legacy sessions
BUG-006	Dirty worktree source	Seller owner/Operator	Dodo adapter	100% for provider 401/403	Yes from source	2026-08-23	src/lib/billing/dodo.ts:191	All non-retryable 4xx collapsed into customer rejection	Other provider 4xx mappings and retry policy
BUG-007	Production-compatible source projection	Seller owner/manager	/app/products	Every variant with multiple keys	Yes	2026-08-23	src/lib/catalog/store.ts listSellerProductsPage CTE	Join fan-out counted without DISTINCT	Pagination/export/summary queries using same join
BUG-008	Production	Seller owner/Guest	/app; /app/store; public storefront	Observed for current suspended shop	Yes	2026-08-23	production-state-api-probes.txt and Chrome walkthrough	Multiple non-canonical publication/readiness labels	Caching and transitions among draft/published/suspended/provider-pending
BUG-009	Staging/source	Keyboard/screen-reader customer	Public product cards	Every rendered affected card	Yes via axe/source	2026-08-23	src/components/storefront/ProductCard.astro:31	Focusable descendants nested under aria-hidden wrapper	Card click/add-to-cart semantics across templates
BUG-010	Local audit environment	QA engineer	localhost:4321	100% in observed stale server	Yes locally; not production	2026-08-23	Astro logs: missing deps_ssr optimized modules	Stale Vite SSR optimizer cache/process lifecycle	Clean developer/CI startup and cache invalidation
BUG-011	Local full Vitest	QA/CI	Test suite	5/2939 in full run	Yes for 4 mocks; flaky concurrency timeout	2026-08-23	verification-command-log.txt	Incorrect SQL mock semantics plus suite-level contention	Do not mask real failures by blanket timeout increases
BUG-012	Staging/source	Guest/Customer	Storefront image paths	Every affected image render	Yes from source	2026-08-23	ProductCard.astro:33; Gallery.astro; app/store.astro:339	Media components omit intrinsic dimensions	Responsive crops and CMS images with unknown metadata
BUG-013	Production	Seller owner	/app/billing	100% observed on current suspended shop	Yes	2026-08-23	production-billing-phantom-operation.jpg	Deployed CSS does not honor hidden operation banner state	Real in-progress banner must remain visible after fix
BUG-014	Dirty worktree/source	New Seller	/onboarding launch	Every publish error	Yes from source	2026-08-23	onboarding-quickstart.ts:1354 and OnboardingStepLaunch.astro:133	Celebration runs in finally; backend activation error is swallowed	Network timeout may hide eventual success; retry must be idempotent
BUG-015	Dirty worktree/source	English-locale New Seller	/onboarding	Every v2 onboarding render	Yes from source	2026-08-23	OnboardingShell and OnboardingStep*.astro hardcoded copy	V2 bypasses locale catalogs	Vietnamese/default locale and translation fallback
BUG-016	Local test suite	QA/CI	Authenticated onboarding browser gate	Every run against v2 markup	Yes from source contract	2026-08-23	tests/authenticated/local-authenticated.spec.ts:35,394	E2E selectors target legacy controller/markup	Update selectors without reducing behavioral assertions
BUG-017	Current source	Seller member	/app/telegram; /app/store/settings	Every alias navigation	Yes from source	2026-08-23	alias redirects and no focus consumer	Redirect produces focus query/hash but destination ignores it	Back/forward and direct links to future focus targets
BUG-018	Current source	Owner/manager	POST order shipping endpoint	Every invalid transition request accepted by guards	Yes from source	2026-08-23	shipping.ts route/service and order detail UI	No explicit FSM, expectedVersion/CAS or idempotency	Legacy order states and concurrent valid updates
BUG-019	Current source	Viewer/support	GET order messages	Every authorized shop member with order ID	Yes from auth path	2026-08-23	order-messages.ts:115 and messages route	Generic shop:read used instead of order visibility projection	Support workflow may need deliberately masked fields
BUG-020	Current source	Support/viewer	Seller catalog reads	Every read through requireCatalogActor	Yes from source	2026-08-23	src/lib/catalog/store.ts:25	Helper hardcodes catalog:manage for read action	All catalog callers must choose capability consistently
BUG-021	Current source	Owner/manager	POST /products/:productId/stock	Every mismatched same-shop product/variant pair	Yes from source	2026-08-23	product stock route:39 and shipping service:100	Path productId is discarded before service validation	Cross-tenant guard must remain intact while enforcing hierarchy
BUG-022	Current source	Viewer	Channel/integration metadata APIs	Every viewer shop membership	Yes from source	2026-08-23	connector-requests.ts:88 and channel catalog route	shop:read substitutes for integrations:read	Owner/manager/support intended read matrix
BUG-023	Current source/D1 constraint	Owner/manager	Physical stock update	Every requested onHand below reserved	Yes from source/constraint	2026-08-23	shipping.ts:118	Input is not prevalidated; DB CHECK bubbles as 500	Concurrent reservations between preflight and update
BUG-024	Current source	Seller/support	Order audit timeline	Every shipping audit event	Yes from source	2026-08-23	shipping.ts:345 and seller-orders.ts:436	Writer stores public ID while reader filters internal ID	Existing audit rows and other resource ID conventions
BUG-025	Current source	Seller owner/manager	/app/products; /app/inventory	Every physical variant using variant_stock_levels	Yes from source	2026-08-23	catalog/store.ts projections; storefront/store.ts:455	Seller projection aggregates license keys only	Mixed/manual/digital variants and reserved stock
BUG-026	Dirty worktree/source	New/existing Seller	/onboarding integration/settings steps	100% for affected calls	Yes from route contract	2026-08-23	onboarding-quickstart.ts:871,1157,1197,1300 and route exports	Active client and server contract diverged after v2/route changes	Legacy consumers and API version compatibility
BUG-027	Dirty worktree/source	Existing Seller	/onboarding store step	Every existing-shop save path	Yes from source	2026-08-23	onboarding-quickstart.ts:869	Client mutates local state and swallows failed persistence	Partial successful fields and optimistic UI rollback
BUG-028	Current source	New Seller from pricing	/pricing -> /login -> /onboarding	Every Pro CTA registration path	Yes from source	2026-08-23	pricing.astro:48; onboarding-quickstart.ts:839	Plan redirect is dropped and quickstart hardcodes starter	Allow-list plan values and prevent entitlement escalation
BUG-029	Dirty worktree/source	New/existing Seller	Onboarding create/import	On retry, refresh, timeout or multi-tab	Yes from source	2026-08-23	onboarding-quickstart.ts:848,976,1091; seed-preset.ts:61	Fresh idempotency keys represent same logical intent as new actions	Input changes must rotate key; identical retries must not
BUG-030	Current source/config	New Seller	/onboarding launch/readiness	Every launch while policy version null	Yes from source	2026-08-23	onboarding-quickstart.ts:1300; readiness.ts:139; policy.ts:16	UI submits false/null while readiness requires attestation/version	Future policy rollout and previously attested shops
BUG-031	Current source	New Seller	POST OTP verify/registration completion	On transient DB batch failure after OTP verify	Yes from source; injected failure not live	2026-08-23	session.ts:730; otp.ts:170	OTP consumed outside atomic activation/session commit	Replay protection and duplicate session creation
BUG-032	Clean HEAD 22bfd88	Release operator	Migration/release admission	100% clean checkout	Yes	2026-08-23	release-migration-ledger-probes.txt	0113 exists only untracked while 0114/0115 are committed	Never renumber applied migrations; validate clean Git artifact
BUG-033	Dirty worktree/source	New Seller/Customer	Onboarding preset to fulfillment	Every license-key preset with sampleKeys	Yes from source; live order intentionally blocked	2026-08-23	presets.ts:22; seed-preset.ts:64; readiness.ts:329	Production inventory import reused for demo samples	Audit existing seeded rows without deleting legitimate inventory
BUG-034	Current source	Returning Seller	/onboarding; overview API	Every draft/stale state; transient reads probabilistic	Yes from source	2026-08-23	resume.ts:73; readiness.ts:130,329; overview.ts:30	Resume duplicates simplified readiness and converts errors to null	Avoid new single source becoming unavailable without degraded UI
BUG-035	Current source	New Seller	/register; login/register redirect	Every refresh/redirected signup	Yes from source	2026-08-23	auth.ts:413,557; login.astro:244	Pending signup context lives only in memory and redirect is not propagated	Do not persist OTP/password; validate redirect allow-list
BUG-036	Current source	Manager/non-owner	/onboarding	Every manager opening member shop wizard	Yes from source	2026-08-23	onboarding.astro:19; resume.ts:64; onboarding/store.ts:71	Page gate is capability-based but mutation steps are owner-only	Owner flow and legitimate manager catalog access
BUG-037	Dirty worktree/source	New Seller	Onboarding summary	Every manual/physical/booking preset	Yes from source	2026-08-23	onboarding-quickstart.ts:936	Client hardcodes productIsManual false	License-key preset counts and future fulfillment types
BUG-038	Clean candidate source	Guest/attacker/operator	auth_otp_admissions maintenance	Continuous growth; upper bound about 19200 rows/day	Yes from source	2026-08-23	0114_auth_otp_admission.sql; worker.ts:681	Expiry index exists but no bounded scheduled purge	Retention must not remove live admission windows
BUG-039	Clean candidate/test harness	Guest/New Seller/Existing account	Auth migrations 0114/0115	Every release lacks schema-level regression evidence	Yes as coverage gap	2026-08-23	No tests reference auth_otp_admissions or pending_password_hash	Route mocks and JS Map bypass D1 atomic/schema behavior	Tests must cover old-schema compatibility and failure rollback
